"상세영업상태코드","사업장명","시군구명","동리명","설립년도","폐업년도","영업기간"
2,"에스피씨 삼립 정성스레 빚은 떡 빚은 무교점","중구","다동",2012,2017,6
2,"대구 근대골목단팥빵","중구","소공동",2017,2017,1
2,"웰빙쌀빵","중구","흥인동",2017,2021,5
2,"픽어베이글","중구","충무로1가",2017,2017,1
2,"앤티앤스","중구","충무로1가",2006,2015,10
2,"파리바게뜨","중구","중림동",2006,2009,4
2,"비알코리아(주)던킨도너츠서소문점","중구","서소문동",2006,2016,11
2,"크리스피크림 명동점","중구","명동1가",2006,2013,8
2,"미스터도너츠","중구","충무로2가",2006,2017,12
2,"빠나미(충정로점)","중구","중림동",2006,2013,8
2,"따삐오베이커리신당점","중구","신당동",2006,2007,2
2,"뚜레쥬르을지로6가점","중구","을지로6가",2006,2008,3
2,"에브리데이 컵케이크","중구","충무로1가",2012,2014,3
2,"비알코리아(주) 던킨도너츠서울스퀘어점","중구","남대문로5가",2012,2016,5
2,"신라베이커리","성동구","성수동1가",1994,2006,13
2,"뺑드비제과(응봉점)","성동구","응봉동",1995,2014,20
2,"이딸리앙베이커리","성동구","송정동",1996,2007,12
2,"따삐오베이커리 신당점","중구","신당동",2005,2006,2
2,"송악농업협동조합","중구","충정로1가",2005,2011,7
2,"지화자","중구","충무로1가",2005,2010,6
2,"노이하우스","중구","충무로1가",2005,2016,12
2,"메리스","중구","충무로1가",2005,2012,8
2,"뒤샹","중구","충무로1가",2005,2009,5
2,"레어버드컴퍼니","중구","충무로1가",2015,2015,1
2,"더애플","중구","황학동",2015,2017,3
2,"식빵가게 엘린","중구","신당동",2015,2018,4
2,"(주)신세계조선호텔 베끼아에누보델리","중구","소공동",1970,2013,44
2,"에릭케제르(EK)","중구","태평로2가",1977,2019,43
2,"뚜레쥬르충무로극동점","중구","충무로3가",1978,2018,41
2,"케익나라몽블랑","중구","중림동",1979,2006,28
2,"한나식빵 남대문점","중구","남대문로3가",2015,2019,5
2,"코트도르 명동점","중구","을지로2가",2015,2016,2
2,"앙트르메","중구","신당동",1983,2006,24
2,"비알코리아(주)던킨도너츠충무로역점","중구","필동2가",1984,2015,32
2,"비엔씨 롯데점","중구","소공동",2015,2015,1
2,"신세계푸드 데이앤데이 청계천점","중구","황학동",2015,2015,1
2,"아마폴라","중구","신당동",2010,2011,2
2,"루시카토","중구","소공동",2010,2020,11
2,"브레드원","중구","필동1가",2015,2019,5
2,"서울연인단팥빵","중구","충무로1가",2015,2015,1
2,"케익이벤트","성동구","마장동",2000,2008,9
2,"신라명과금호","성동구","금호동4가",2000,2013,14
2,"뚜레쥬르한양대점","성동구","행당동",2000,2013,14
2,"뚜레쥬르","중구","중림동",2007,2012,6
2,"만나","중구","서소문동",2012,2013,2
2,"커피앤브레드","중구","수표동",2012,2015,4
2,"성심당 서울롯데점","중구","소공동",2013,2013,1
2,"모리아","중구","신당동",2013,2015,3
2,"와플대학","중구","을지로3가",2013,2016,4
2,"홍미당","중구","소공동",2017,2017,1
2,"홍미당","중구","충무로1가",2017,2019,3
2,"크리에잇쿠기","중구","충무로1가",2017,2017,1
2,"롤링핀 정동점","중구","정동",2016,2020,5
2,"더베이크","중구","흥인동",2016,2019,4
2,"삼송빵집 롯데백화점 명동점","중구","소공동",2016,2016,1
2,"따호카스테라","중구","충무로1가",2016,2017,2
2,"브레드 밀(Bread Mill)","중구","순화동",2013,2016,4
2,"앤티앤스 롯데피트인 동대문점","중구","을지로6가",2013,2015,3
2,"와플대학","중구","장충동2가",2013,2015,3
2,"코트도르","중구","충무로1가",2013,2013,1
2,"금미 대만대왕카스테라 명동점","중구","명동1가",2016,2020,5
2,"대만대첩 대왕카스테라 명동점","중구","충무로2가",2016,2017,2
2,"도레도레 롯데명동점","중구","소공동",2016,2016,1
2,"롯데마운틴초콜릿팩토리","중구","소공동",2013,2015,3
2,"빌리엔젤 롯데본점","중구","소공동",2013,2014,2
2,"빵굽는동네","성동구","용답동",2001,2009,9
2,"뚜례쥬르금호벽산점","성동구","금호동1가",2001,2012,12
2,"뚜레쥬르-옥수점","성동구","옥수동",2001,2014,14
2,"비엔나베이커리","성동구","하왕십리동",2001,2017,17
2,"(주)조선호텔베이커리 미니원 본점","중구","충무로1가",2002,2011,10
2,"빵굽는마을","중구","신당동",2003,2006,4
2,"곤트란쉐리에","중구","을지로2가",2015,2016,2
2,"타르틴 광화문점","중구","태평로1가",2015,2017,3
2,"북촌유기농명인단팥빵","중구","남대문로5가",2015,2016,2
2,"(주)라이프추리","중구","충무로1가",2015,2015,1
2,"오류옥(Allyouok)","강남구","도곡동",2019,2020,2
2,"로티서울","성북구","길음동",2019,2019,1
2,"(주)더브레드블루","성북구","길음동",2019,2020,2
2,"베즐리","송파구","문정동",2019,2019,1
2,"비건빌리지","은평구","녹번동",2019,2020,2
2,"로티서울","서대문구","창천동",2019,2020,2
2,"근대골목도나스","송파구","신천동",2019,2019,1
2,"다람쥐 과자점","마포구","망원동",2019,2021,3
2,"서울페이스트리","강남구","압구정동",2019,2019,1
2,"더 플랫 케이크(the flat cake)","강남구","청담동",2019,2020,2
2,"자돌시","강서구","화곡동",2019,2019,1
2,"연립빵공장","강남구","삼성동",2019,2021,3
2,"강정이넘치는집","강남구","삼성동",2019,2019,1
2,"아이마이미마인","송파구","송파동",2019,2020,2
2,"꿈친 베이커리카페","은평구","갈현동",2019,2020,2
2,"베이크웨이","영등포구","여의도동",2019,2021,3
2,"소보로 빵집","강남구","삼성동",2019,2020,2
2,"베이크웨이","송파구","신천동",2019,2020,2
2,"핫브레드(석촌점)","송파구","석촌동",2019,2020,2
2,"오늘더달달","양천구","신정동",2019,2020,2
2,"크레이지파이","마포구","상수동",2019,2021,3
2,"쿄베이커리 현대백화점 무역센터점","강남구","삼성동",2019,2020,2
2,"(주)엘리스파이","서초구","서초동",2019,2019,1
2,"얌얌브레드(을지로점)","중구","을지로4가",2019,2020,2
2,"강정이 넘치는 집","강남구","압구정동",2019,2019,1
2,"츄컴퍼니","강서구","마곡동",2019,2020,2
2,"가든한 공방","강남구","삼성동",2019,2019,1
2,"베이커온도","강남구","삼성동",2019,2020,2
2,"어나더베이커리카페","동작구","대방동",2019,2020,2
2,"얌얌브레드 대방역점","동작구","대방동",2019,2021,3
2,"베즐리","송파구","문정동",2019,2019,1
2,"오프더월(off the wall)","은평구","갈현동",2019,2020,2
2,"본정초콜릿카페(영풍문고 본점)","종로구","서린동",2019,2020,2
2,"슬로우푸드","강서구","공항동",2019,2021,3
2,"동빙고워크룸","용산구","동빙고동",2019,2019,1
2,"대가빵커","금천구","시흥동",2019,2020,2
2,"오브엘","마포구","상암동",2019,2021,3
2,"강정이 넘치는집","강남구","압구정동",2019,2019,1
2,"페이브 서초점","서초구","서초동",2019,2020,2
2,"로티서울","구로구","신도림동",2019,2019,1
2,"로티서울","송파구","문정동",2019,2019,1
2,"레프레미스","강남구","압구정동",2019,2021,3
2,"오지힐","용산구","용산동2가",2019,2020,2
2,"외계인 방앗간","송파구","가락동",2019,2019,1
2,"써니케이크","광진구","중곡동",2019,2021,3
2,"투닷츠(TWO DOTS)","구로구","구로동",2019,2021,3
2,"장발장 빵 훔쳐간집","송파구","문정동",2019,2020,2
2,"비파티세리 팝업스토어","강남구","압구정동",2019,2021,3
2,"도란도란","송파구","잠실동",2019,2020,2
2,"꽁뜨(Homemade dessert)","성동구","용답동",2019,2020,2
2,"피그말리온","관악구","신림동",2019,2020,2
2,"(주)튜브캐스트 베이커리카페 딜라이트","강남구","압구정동",2019,2020,2
2,"연립커피","강남구","신사동",2019,2021,3
2,"에꼴드 크루아상","중구","신당동",2019,2020,2
2,"파트 베이크","마포구","현석동",2019,2020,2
2,"(주)현대그린푸드 베즐리베이커리 압구정점","강남구","압구정동",2019,2019,1
2,"포스트 콘디토리","강남구","압구정동",2019,2019,1
2,"브리오슈도레 서교동점","마포구","서교동",2019,2021,3
2,"베이킹꼬꼬 공방","종로구","삼청동",2019,2020,2
2,"강정이넘치는 집","강남구","삼성동",2019,2019,1
2,"차밍케익","동작구","사당동",2019,2021,3
2,"이디야 학동역점","강남구","논현동",2019,2020,2
2,"(주)신세계푸드 베이커리 천호점","강동구","천호동",2019,2021,3
2,"(주)더닐크팩토리","서초구","반포동",2019,2019,1
2,"도레도레 현대시티아울렛 동대문점 팝업스토어","중구","을지로6가",2019,2019,1
2,"Klang(클랑)","송파구","문정동",2019,2020,2
2,"브리오슈도레 방배역점","서초구","방배동",2019,2021,3
2,"로티서울","송파구","문정동",2019,2019,1
2,"이n바이","강남구","대치동",2019,2020,2
2,"로티서울","구로구","신도림동",2019,2019,1
2,"오핀 영등포지점","영등포구","문래동3가",2019,2020,2
2,"두꺼비집","성동구","성수동1가",2019,2019,1
2,"(주)신세계푸드이베이커리하월곡점","성북구","하월곡동",2019,2020,2
2,"더베이크 오목교점","양천구","목동",2019,2019,1
2,"주식회사 한국요유빵 마포","중구","소공동",2019,2019,1
2,"강정이넘치는집","중구","소공동",2019,2020,2
2,"오테라","서대문구","창천동",2019,2019,1
2,"베즐리 베이커리","송파구","문정동",2019,2019,1
2,"던킨도너츠강남본점 비이커한남팝업스토어","용산구","한남동",2019,2020,2
2,"강정이 넘치는 집","서초구","반포동",2019,2020,2
2,"던킨도너츠 고속터미널점","서초구","반포동",2019,2019,1
2,"베이커리카페 가루밀","강남구","대치동",2019,2019,1
2,"디플라워케이크","강서구","마곡동",2019,2021,3
2,"쟝블랑제리","중구","봉래동2가",2019,2020,2
2,"베키아에누보 강남점","서초구","반포동",2019,2019,1
2,"라라디저트","중구","장충동2가",2019,2021,3
2,"거거케이크","동작구","사당동",2019,2020,2
2,"로티서울","영등포구","영등포동",2019,2019,1
2,"영청카페베이커리","중랑구","망우동",2019,2020,2
2,"B.T.M (비티엠)","서초구","반포동",2019,2020,2
2,"로티서울","양천구","목동",2019,2019,1
2,"샤르망","강남구","역삼동",2019,2019,1
2,"세이버리호미","강동구","길동",2018,2020,3
2,"고로케하우스","강서구","방화동",2019,2019,1
2,"플라잉스콘","강남구","압구정동",2019,2019,1
2,"코코호도(오류점)","구로구","오류동",2008,2009,2
2,"장진영 베이커리","구로구","개봉동",2008,2010,3
2,"파리바게트 구로역점","구로구","구로동",2008,2010,3
2,"뚜레쥬르 고척동양점","구로구","고척동",2008,2021,14
2,"빵굼터","구로구","개봉동",2008,2011,4
2,"글로리아제과점","구로구","구로동",2008,2011,4
2,"(주)보광훼미리마트","구로구","오류동",2008,2012,5
2,"코레일유통(주)다이닝박스","구로구","오류동",2008,2020,13
2,"경주빵(토방식품)","구로구","구로동",2009,2011,3
2,"뚜레쥬르(오류북부점)","구로구","오류동",2009,2017,9
2,"(주)한국철도유통 신라명과","구로구","구로동",1997,2007,11
2,"케익하우스","구로구","가리봉동",1997,2016,20
2,"고려당","구로구","구로동",1998,2011,14
2,"크라운베이커리 구로점","구로구","구로동",1998,2011,14
